price_date,brand,category,description,currency,page,0km,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,178HP - 6.175 STANDARD 4x4 C/3PTOS. C/CABINA (24.5R32),u$s,3,,,,,,,,,,,68000.0,65900.0,63900.0,62000.0,60200.0,58300.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,195HP - 6.190 STANDARD 4x4 S/3PTOS. S/CABINA (24.5R32),u$s,3,,,,,,,,,,,70000.0,67900.0,65800.0,63800.0,62000.0,60100.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,195HP - 6.190 STANDARD 4x4 C/3PTOS. S/CABINA (24.5R32),u$s,3,,,,,,,,,,,73000.0,70800.0,68600.0,66600.0,64600.0,62600.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,195HP - 6.190 STANDARD 4x4 S/3PTOS. C/CABINA (24.5R32),u$s,3,,,,,,,,,,,75000.0,72800.0,70600.0,68500.0,66400.0,64400.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,195HP - 6.190 STANDARD 4x4 C/3PTOS. C/CABINA (24.5R32),u$s,3,,,,,,,,,,,78000.0,75700.0,73400.0,71200.0,69100.0,67000.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,212HP - 6.220 STANDARD 4x4 S/3PTOS. S/CABINA (24.5R32),u$s,3,,,,,,,,,,,75000.0,72800.0,70600.0,68500.0,66400.0,64400.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,212HP - 6.220 STANDARD 4x4 C/3PTOS. S/CABINA (24.5R32),u$s,3,,,,,,,,,,,78000.0,75700.0,73400.0,71200.0,69100.0,67000.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,212HP - 6.220 STANDARD 4x4 S/3PTOS. C/CABINA (24.5R32),u$s,3,,,,,,,,,,,80000.0,77600.0,75300.0,73000.0,70800.0,68700.0
,AGCO ALLIS,TRACTOR SERIE 6 - BRASIL > TRACTOR SERIE 6 - ARGENTINA,212HP - 6.220 STANDARD 4x4 C/3PTOS. C/CABINA (24.5R32),u$s,3,,,,,,,,,,,83000.0,80500.0,78100.0,75800.0,73500.0,71300.0
,AGRINAR,Tractores,85 2 STD s/ 3P 82cv s/cabina,u$s,3,,,,,,,,,34000.0,32000.0,30000.0,29000.0,28000.0,26800.0,25500.0,24300.0
,AGRINAR,Tractores,85 2 STD c/ 3P 82cv s/cabina,u$s,3,,,,,,,,,37000.0,35000.0,33000.0,31500.0,30000.0,28500.0,27000.0,26300.0
,AGRINAR,Tractores,85 4 STD s/3P 82cv s/cabina,u$s,3,,,,,,,,,37000.0,35500.0,34000.0,32500.0,31000.0,29800.0,28500.0,27300.0
,AGRINAR,Tractores,85 4 STD c/3P 82cv s/cabina,u$s,3,,,,,,,,,41000.0,39300.0,37500.0,35800.0,34000.0,32800.0,31500.0,30300.0
,AGRINAR,Tractores,100 2 99cv s/3P s/cabina,u$s,3,,,,,,,,,36000.0,34500.0,33000.0,31500.0,30000.0,28800.0,27500.0,26300.0
,AGRINAR,Tractores,100 4 99cv s/3P T s/cabina,u$s,4,,,,,,,,,41000.0,39300.0,37500.0,35800.0,34000.0,32800.0,31500.0,30300.0
,AGRINAR,Tractores,100 2 STD c/ 3P 102cv 4x2,u$s,4,,,,,,,,,41000.0,39300.0,37500.0,35800.0,34000.0,32800.0,31500.0,30300.0
,AGRINAR,Tractores,100 4 STD c/ 3P 102cv 4x4,u$s,4,,,,,,,,,44000.0,42000.0,40000.0,38300.0,36500.0,34800.0,33000.0,31800.0
,AGRINAR,Tractores,130 2 s/3P 130cv s/cabina,u$s,4,,,,,,,,,45000.0,43500.0,42000.0,40300.0,38500.0,37000.0,35500.0,34000.0
,AGRINAR,Tractores,130 2 c/3P 130cv s/cabina,u$s,4,,,,,,,,,48000.0,46300.0,44500.0,42800.0,41000.0,39500.0,38000.0,36300.0
,AGRINAR,Tractores,130 4 s/3P 130cv c/cabina,u$s,4,,,,,,,,,57000.0,55000.0,53000.0,51000.0,49000.0,47000.0,45000.0,43000.0
,AGRINAR,Tractores,130 4 c/3P 130cv c/cabina y duales,u$s,4,,,,,,,,,60000.0,57500.0,55000.0,53000.0,51000.0,49000.0,47000.0,45500.0
